Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
Natural,Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,"KARS,KARAKURT,KAGIZMAN,DIGOR",5.9,Moment Magnitude,40.3,43.1,1900,7.0,12.0,1900,7.0,12.0,140.0
Natural,Geophysical,Earthquake,Tsunami,JPN,Japan,Eastern Asia,Asia,Sanriku,7.9,Moment Magnitude,40.5,142.5,1901,8.0,10.0,1901,8.0,10.0,18.0
Natural,Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,"Andishan,Tashkent (Uzbekistan)",6.4,Moment Magnitude,40.8,72.3,1902,12.0,16.0,1902,12.0,16.0,4562.0
Natural,Geophysical,Earthquake,Ground movement,GTM,Guatemala,Latin America and the Caribbean,Americas,"Quezaltenango, San Marcos",7.5,Moment Magnitude,14.0,-90.230759,1902,4.0,18.0,1902,4.0,18.0,2000.0
Natural,Geophysical,Earthquake,Ground movement,SUN,Soviet Union,Eastern Europe,Europe,Semacha (Azerbaijan),6.9,Moment Magnitude,40.7,48.6,1902,2.0,13.0,1902,2.0,13.0,86.0
Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"XINJIANG, TURKESTAN",7.7,Moment Magnitude,39.88,76.2,1902,8.0,22.0,1902,8.0,22.0,2500.0
Natural,Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,Malazgirt,6.3,Moment Magnitude,39.09,42.3,1903,4.0,29.0,1903,4.0,29.0,3560.0
Natural,Geophysical,Earthquake,Ground movement,ISR,Israel,Western Asia,Asia,Nabulus,5.7,Moment Magnitude,32.2,35.3,1903,3.0,30.0,1903,3.0,30.0,20.0
Natural,Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,"VARGINIS,CARDAHLI,MEHKEREK",5.8,Moment Magnitude,40.9,42.7,1903,5.0,28.0,1903,5.0,28.0,1000.0
Natural,Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Kashmar,6.5,Moment Magnitude,35.2,58.2,1903,9.0,25.0,1903,9.0,25.0,350.0
Natural,Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,Jiayi,6.0,Moment Magnitude,23.5,120.5,1904,4.0,24.0,1904,4.0,24.0,3.0
Natural,Geophysical,Earthquake,Ground movement,GRC,Greece,Southern Europe,Europe,"Samos, Patmos",6.2,Moment Magnitude,37.75,27.0,1904,8.0,11.0,1904,8.0,11.0,4.0
Natural,Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,Jiayi,6.3,Moment Magnitude,23.5,120.3,1904,11.0,6.0,1904,11.0,6.0,145.0
Natural,Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,"MONTELEONE, TROPEA, MONTE PORO (Calabria)",7.1,Moment Magnitude,38.67,16.07,1905,9.0,8.0,1905,9.0,8.0,557.0
Natural,Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,Asia,Kangra,7.8,Moment Magnitude,32.04,76.16,1905,4.0,4.0,1905,4.0,4.0,20000.0
Natural,Geophysical,Earthquake,Tsunami,JPN,Japan,Eastern Asia,Asia,Fukushima,7.0,Moment Magnitude,37.4,142.6,1905,7.0,7.0,1905,7.0,7.0,41.0
Natural,Geophysical,Earthquake,Ground movement,ALB,Albania,Southern Europe,Europe,Shkoder,6.6,Moment Magnitude,42.1,19.6,1905,6.0,1.0,1905,6.0,1.0,120.0
Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,Aki,7.8,Moment Magnitude,34.0,132.0,1905,6.0,2.0,1905,6.0,2.0,11.0
Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,Sichuan province,5.0,Moment Magnitude,29.3,104.8,1905,11.0,8.0,1905,11.0,8.0,
