Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Galveston (Texas),220.0,Kph,37.09024,-95.712891,1900,9.0,8.0,1900,9.0,8.0,6000.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Florida,177.0,Kph,37.09024,-95.712891,1906,,,1906,,,164.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"Mississippi, Alabama, Pensacola",209.0,Kph,37.09024,-95.712891,1906,,,1906,,,134.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Grand Isle (Lousiana),249.0,Kph,37.09024,-95.712891,1909,,,1909,,,350.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Velasco (Texas),209.0,Kph,37.09024,-95.712891,1909,,,1909,,,41.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Florida,209.0,Kph,37.09024,-95.712891,1910,,,1910,,,30.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"Cavelston (Texas), New Orleans (Louisiana)",249.0,Kph,37.09024,-95.712891,1915,8.0,,1915,8.0,,525.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Louisiana (Southwest),209.0,Kph,37.09024,-95.712891,1918,,,1918,,,34.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"Florida Keys, South Texas",249.0,Kph,37.09024,-95.712891,1919,9.0,,1919,9.0,,500.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Louisiana,209.0,Kph,37.09024,-95.712891,1926,,,1926,,,25.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"Florida, Alabama, Pensacola",249.0,Kph,37.09024,-95.712891,1926,9.0,,1926,9.0,,243.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Lake Okeechobee (Florida),249.0,Kph,37.09024,-95.712891,1928,9.0,,1928,9.0,,1836.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Florida,249.0,Kph,37.09024,-95.712891,1935,9.0,,1935,9.0,,408.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"Georgia, Carolinas",177.0,Kph,37.09024,-95.712891,1940,,,1940,,,50.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,East coast,209.0,Kph,37.09024,-95.712891,1944,9.0,,1944,9.0,,390.0
Natural,Meteorological,Storm,Tropical cyclone,CUB,Cuba,Latin America and the Caribbean,Americas,"Isle of Pines, La Havana",262.0,Kph,21.521757,-77.781167,1944,10.0,18.0,1944,10.0,18.0,
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"Florida, Louisiana",249.0,Kph,37.09024,-95.712891,1947,9.0,,1947,9.0,,51.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"South Carolina, North Carolina",249.0,Kph,37.09024,-95.712891,1954,10.0,,1954,10.0,,95.0
Natural,Meteorological,Storm,Tropical cyclone,HTI,Haiti,Latin America and the Caribbean,Americas,Southwestern,249.0,Kph,18.971187,-72.285215,1954,10.0,5.0,1954,10.0,18.0,410.0
Natural,Meteorological,Storm,Tropical cyclone,CAN,Canada,Northern America,Americas,"Toronto, Ontario",249.0,Kph,56.130366,-106.346771,1954,10.0,5.0,1954,10.0,18.0,83.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Connie (North Carolina),209.0,Kph,37.09024,-95.712891,1955,,,1955,,,25.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,East Coast,152.0,Kph,37.09024,-95.712891,1955,8.0,16.0,1955,8.0,16.0,184.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Gulf Coast,249.0,Kph,37.09024,-95.712891,1957,6.0,26.0,1957,6.0,26.0,390.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Texas,249.0,Kph,37.09024,-95.712891,1961,9.0,11.0,1961,9.0,11.0,46.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,Louisiana,209.0,Kph,37.09024,-95.712891,1964,10.0,,1964,10.0,,38.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"Mississippi, Louisiana, Virginia",249.0,Kph,37.09024,-95.712891,1969,8.0,17.0,1969,8.0,17.0,323.0
Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,East,153.0,Kph,37.09024,-95.712891,1972,6.0,18.0,1972,6.0,18.0,122.0
Natural,Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,Asia,Midnapore,20.0,Kph,20.593684,78.96288,1974,5.0,29.0,1974,5.0,29.0,
Natural,Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,Kyushu (Southern),150.0,Kph,36.204824,138.252924,1976,9.0,8.0,1976,9.0,8.0,169.0
Natural,Meteorological,Storm,Tropical cyclone,HND,Honduras,Latin America and the Caribbean,Americas,North Coast Gracias Dios,193.0,Kph,15.199999,-86.241905,1978,9.0,17.0,1978,9.0,17.0,
Natural,Meteorological,Storm,Tropical cyclone,BLZ,Belize,Latin America and the Caribbean,Americas,"South, Central coasts",193.0,Kph,17.189877,-88.49765,1978,9.0,18.0,1978,9.0,18.0,5.0
