Year,Original Magnitude,Predicted Magnitude,Anomaly Z-score,Anomaly IQR
1900,5.9,,,
1901,7.9,,,
1902,7.125,,,
1903,6.075,,,
1904,6.166666666666667,,,
1905,6.883333333333333,,,
1906,7.766666666666667,,,
1907,6.95,,,
1908,7.0,,,
1909,6.914285714285714,,,
1910,7.1,,,
1911,7.540000000000001,,,
1912,7.8,,,
1913,6.975,,,
1914,6.6,,,
1915,6.8999999999999995,,,
1916,6.25,,,
1917,6.425,,,
1918,7.7,,,
1920,6.88,,,
1922,8.149999999999999,,8.149999999999999,8.149999999999999
1923,6.55,,,
1924,6.5,,,
1925,6.175,,,
1927,6.9,,,
1928,5.1,,,5.1
1929,7.45,,,
1930,6.292307692307692,,,
1931,6.816666666666666,,,
1932,6.94,,,
1933,6.8,,,
1935,6.3428571428571425,,,
1936,6.7125,,,
1937,7.6,,,
1938,7.15,,,
1939,6.95,,,
1940,6.75,,,
1941,6.325,,,
1942,6.8,,,
1943,6.771428571428571,,,
1944,6.683333333333334,,,
1945,6.75,,,
1946,7.166666666666667,,,
1947,7.366666666666667,,,
1948,7.216666666666666,,,
1949,7.2,,,
1950,6.975,,,
1951,6.716666666666666,,,
1952,6.5625,,,
1953,7.028571428571429,,,
1954,6.833333333333333,,,
1955,6.475,,,
1956,6.74,,,
1957,7.066666666666666,,,
1958,7.075,,,
1959,6.966666666666666,,,
1960,7.383333333333333,,,
1961,6.566666666666666,,,
1962,6.55,,,
1963,6.2,,,
1964,6.8999999999999995,,,
1965,6.425,,,
1966,6.409090909090909,,,
1967,6.25,,,
1968,6.466666666666667,,,
1969,6.636363636363637,,,
1970,6.645454545454545,,,
1971,6.166666666666667,,,
1972,5.828571428571428,,,
1973,6.8875,,,
1974,6.833333333333333,,,
1975,6.840000000000001,,,
1976,6.68125,,,
1977,6.461538461538462,,,
1978,6.411111111111111,,,
1979,6.45,,,
1980,6.0375,,,
1981,5.84,,,
1982,5.7846153846153845,,,
1983,6.045833333333333,,,
1984,6.136363636363637,,,
1985,6.335294117647059,,,
1986,5.715,,,
1987,6.173333333333333,,,
1988,6.235714285714286,,,
1989,5.805555555555555,,,
1990,6.266666666666667,,,
1991,6.062068965517242,,,
1992,6.236000000000001,,,
1993,6.025,,,
1994,6.4879999999999995,,,
1995,6.5307692307692315,,,
1996,6.51,,,
1997,6.095454545454545,,,
1998,5.8533333333333335,,,
1999,6.13939393939394,,,
2000,5.973333333333333,,,
2001,6.18,,,
2002,6.013513513513513,,,
2003,5.9399999999999995,,,
2004,6.633333333333333,,,
2005,6.412000000000001,,,
2006,5.741666666666667,,,
2007,6.466666666666667,,,
2008,6.1695652173913045,,,
2009,6.568181818181818,,,
2010,6.145833333333333,,,
2011,6.3966666666666665,,,
2012,6.214814814814815,,,
2013,6.172413793103448,,,
2014,6.104615384615385,,,
2015,6.817391304347827,,,
2016,6.28,,,
2017,6.25,,,
2018,6.342105263157895,,,
2019,6.283870967741936,,,
2020,6.1000000000000005,,,
2021,6.178571428571429,,,
2022,6.170967741935484,,,
2023,6.151612903225806,,,
2024,6.414285714285714,,,
